emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,sem_shift_band_-3
grateful,Positive/Joy,0.022467,0.017166,0.012574,0.009755,0.012175,0.005301,-0.004592,-0.007411,-0.004991,0.000952
vigilant,Suspicion,-0.003369,-0.006703,-0.010897,-0.011999,-0.011759,0.003334,-0.004194,-0.005296,-0.005056,0.000677
suspicious,Suspicion,-0.006333,-0.006558,-0.010329,-0.010885,-0.011803,0.000225,-0.003771,-0.004327,-0.005245,0.000891
nervous,Fear/Anxiety,-0.031311,-0.036274,-0.038639,-0.040283,-0.041638,0.004963,-0.002365,-0.004008,-0.005364,0.0008
loving,Compassion,0.009617,0.002258,-0.002161,-0.003912,-0.003186,0.007358,-0.00442,-0.006171,-0.005444,0.00116
aroused,Alertness,-0.014275,-0.017106,-0.020203,-0.023095,-0.022628,0.002831,-0.003097,-0.00599,-0.005523,0.001641
relieved,Positive/Joy,0.023332,0.021309,0.016961,0.013219,0.014934,0.002022,-0.004348,-0.008091,-0.006375,0.000848
content,Calm/Serenity,0.005845,0.000547,-0.001942,-0.00516,-0.00636,0.005298,-0.002489,-0.005708,-0.006907,0.001056
self-conscious,Embarrassment,-0.043254,-0.040543,-0.040147,-0.043417,-0.047722,-0.002711,0.000396,-0.002874,-0.007179,0.000912
refreshed,Positive/Joy,0.003471,-0.002359,-0.006626,-0.010711,-0.009828,0.00583,-0.004267,-0.008352,-0.007469,0.001105
hope,Positive/Joy,0.018215,0.010002,0.003302,-0.00188,0.002239,0.008213,-0.0067,-0.011881,-0.007763,0.001392
disoriented,Surprise/Confusion,0.026076,0.024973,0.020612,0.017535,0.017017,0.001102,-0.004361,-0.007438,-0.007956,0.000825
hopeful,Positive/Joy,-0.009483,-0.019058,-0.025093,-0.030135,-0.027259,0.009574,-0.006035,-0.011077,-0.008201,0.00134
rejuvenated,Positive/Joy,0.018275,0.011496,0.005602,0.001017,0.003052,0.006778,-0.005895,-0.010479,-0.008445,0.001112
bewildered,Surprise/Confusion,-0.009226,-0.008286,-0.011651,-0.015802,-0.016733,-0.000941,-0.003365,-0.007516,-0.008447,0.000829
