emotion,cluster,mean_band_1,mean_band_0,mean_band_-1,mean_band_-2,mean_band_-3,mean_band_avg,shift_band_1,shift_band_-1,shift_band_-2,shift_band_-3,shift_band_avg,sem_shift_band_-3
thrilled,Positive/Joy,-0.085692,-0.089397,-0.091514,-0.092998,-0.094546,-0.092875,0.003706,-0.002117,-0.003601,-0.005149,-0.003477,0.000865
delighted,Positive/Joy,-0.103857,-0.107074,-0.108839,-0.108523,-0.112373,-0.109195,0.003217,-0.001765,-0.001449,-0.005299,-0.002121,0.000886
euphoric,Positive/Joy,0.051989,0.052451,0.048292,0.047404,0.047034,0.047564,-0.000462,-0.004159,-0.005046,-0.005416,-0.004887,0.001036
patient,Passive,0.09691,0.094444,0.092632,0.091374,0.089012,0.091316,0.002466,-0.001813,-0.00307,-0.005433,-0.003128,0.000813
stuck,Sadness/Despair,0.083146,0.081744,0.076454,0.078752,0.076019,0.077768,0.001402,-0.00529,-0.002992,-0.005725,-0.003976,0.001334
worn out,Fatigue,-0.01403,-0.013966,-0.014525,-0.017126,-0.019772,-0.0169,-6.4e-05,-0.000559,-0.00316,-0.005806,-0.002934,0.000837
excited,Positive/Joy,-0.036551,-0.035554,-0.042794,-0.045537,-0.041945,-0.044311,-0.000997,-0.00724,-0.009983,-0.006391,-0.008757,0.001216
amazed,Surprise/Confusion,-0.015294,-0.013077,-0.019215,-0.022856,-0.019495,-0.021446,-0.002217,-0.006139,-0.009779,-0.006418,-0.00837,0.000994
sympathetic,Compassion,-0.053041,-0.053247,-0.055627,-0.060759,-0.059719,-0.059344,0.000206,-0.00238,-0.007512,-0.006472,-0.006097,0.001086
suspicious,Suspicion,-0.068333,-0.067551,-0.071974,-0.075012,-0.074116,-0.074131,-0.000782,-0.004423,-0.007462,-0.006565,-0.00658,0.001016
proud,Positive/Joy,0.099095,0.098705,0.093938,0.091761,0.09206,0.092339,0.00039,-0.004767,-0.006943,-0.006645,-0.006365,0.000931
melancholy,Sadness/Despair,0.192138,0.192002,0.185742,0.184897,0.185231,0.185155,0.000137,-0.00626,-0.007105,-0.006771,-0.006847,0.00128
bored,Fatigue,0.248582,0.248386,0.242687,0.241736,0.241605,0.241948,0.000196,-0.005699,-0.00665,-0.006781,-0.006438,0.0011
nostalgic,Nostalgia,0.014803,0.01596,0.013138,0.007134,0.008899,0.008874,-0.001157,-0.002823,-0.008826,-0.007061,-0.007086,0.001085
sentimental,Nostalgia,0.074753,0.075904,0.070099,0.066626,0.068836,0.067817,-0.001151,-0.005804,-0.009278,-0.007067,-0.008087,0.000992
thankful,Positive/Joy,-0.041562,-0.046027,-0.04995,-0.048757,-0.053129,-0.049724,0.004465,-0.003923,-0.00273,-0.007102,-0.003697,0.001036
hopeful,Positive/Joy,-0.016721,-0.020358,-0.024532,-0.026081,-0.027698,-0.025952,0.003637,-0.004174,-0.005723,-0.00734,-0.005594,0.000958
calm,Calm/Serenity,0.035326,0.033269,0.030382,0.027965,0.025911,0.028238,0.002056,-0.002887,-0.005305,-0.007358,-0.005031,0.000952
safe,Calm/Serenity,-0.065687,-0.069122,-0.069436,-0.072674,-0.076985,-0.072549,0.003435,-0.000314,-0.003552,-0.007863,-0.003427,0.001042
